2597,0114388
2598,0114117
2599,0112579
2600,0113277
2601,0115491
2602,0114746
2603,0114682
2604,0112792
2605,0114787
2606,0113117
2607,0114369
2608,0112641
2609,0112346
2610,0112040
2611,0235133
2612,0113497
2613,0114323
2614,0112857
2615,0114906
2616,0112379
2617,0109642
2618,0114689
2619,0113305
2620,0112461
2621,0113189
2622,0112851
2623,0113918
2624,0115640
2625,0116426
2626,0117589
2627,0117603
2628,0117765
2629,0117718
2630,0115759
2631,0117705
2632,0116442
2633,0115963
2634,0116365
2635,0115133
2636,0115433
2637,0117968
2638,0116260
2639,0116477
2640,0117887
2641,0116778
2642,0116418
2643,0116353
2644,0118015
2645,0118105
2646,0116695
2647,0116378
2648,0116908
2649,0313773
2650,0116996
2651,0116705
2652,0116209
2653,0117802
2654,0117008
2655,0116287
2656,0116493
2657,0116985
2658,0117060
2659,0115798
2660,0117534
2661,0117509
2662,0116767
2663,0115591
2664,0117420
2665,0116308
2666,0116514
2667,0118113
2668,0116905
2669,0115639
2670,0115632
2671,0115988
2672,0116213
2673,0116212
2674,0116250
2675,0117381
2676,0115485
2677,0114720
2678,0117038
2679,0115685
2680,0117571
2681,0116361
2682,0119256
2683,0116136
2684,0116583
2685,0116552
2686,0117477
2687,0117500
2688,0117110
2689,0116282
2690,0115641
2691,0116629
2692,0116367
2693,0116277
