,id,imdbid,rating,title,year
115,5514,0016039,2,"Lost World, The",1925
116,1978,0015863,0,Go West,1925
117,3077,0016332,0,Seven Chances,1925
118,1308,0015648,0,Battleship Potemkin,1925
119,5962,0015624,2,"Big Parade, The",1925
120,5991,0015361,0,Stachka,1925
121,2012,0015841,0,"Freshman, The",1925
122,3217,0017410,3,So&#39;s Your Old Man,1926
123,1260,0016884,1,Flesh and the Devil,1926
124,1966,0016895,0,For Heaven&#39;s Sake,1926
125,1310,0017925,0,"General, The",1926
126,1334,0017449,1,"Temptress, The",1926
127,5974,0015532,1,Die Abenteuer des Prinzen Achmed,1926
128,1632,0018455,2,Sunrise: A Song of Two Humans,1927
129,1982,0018199,0,Nevada,1927
130,2010,0018183,3,My Best Girl,1927
131,1312,0018192,2,Abel Gance&#39;s Napoleon,1927
132,1227,0018033,3,It,1927
133,1267,0017136,1,Metropolis,1927
134,1311,0018528,0,"Unknown, The",1927
135,7324,0017825,1,Downhill [When Boys Leave Home],1927
136,5975,0018037,1,"Jazz Singer, The",1927
137,3118,0018578,1,Wings,1927
138,1964,0018051,0,"Kid Brother, The",1927
139,1963,0019412,0,Speedy,1928
140,1971,0019421,0,"Steamboat Bill, Jr.",1928
141,1979,0019290,1,"Power of the Press, The",1928
142,1970,0018742,0,"Cameraman, The",1928
143,5984,0018839,2,"Docks of New York, The",1928
144,1977,0018684,0,Beggars of Life,1928
145,2013,0019258,3,"Patsy, The",1928
146,2017,0019571,2,While the City Sleeps,1928
147,2021,0019130,2,"Man Who Laughs, The",1928
148,5912,0018806,1,"Crowd, The",1928
149,1968,0018773,0,"Circus, The",1928
150,1972,0019304,0,"Racket, The",1928
151,1980,0018937,0,A Girl in Every Port,1928
152,1314,0019254,0,"Passion of Joan of Arc, The",1928
153,3897,0019760,0,Man with a Movie Camera,1929
154,1313,0020530,0,Un chien andalou,1929
155,6046,0020286,0,Throw of the Dice,1929
156,8464,0019729,3,Broadway Melody,1929
157,7287,0021015,3,Juno and the Paycock [The Shame of Mary Boyle],1929
158,1962,0020572,0,Welcome Danger,1929
159,2324,0018737,3,Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929
160,1953,0019777,2,"Cocoanuts, The",1929
161,5979,0019702,2,Blackmail,1929
162,3871,0021577,0,L&#39;Age d&#39;Or,1930
163,1316,0020629,0,All Quiet on the Western Front,1930
164,3865,0021156,1,Morocco,1930
165,8463,0020640,3,Animal Crackers,1930
166,7291,0021165,3,Murder!,1930
167,1315,0020697,1,"Blue Angel, The",1930
168,6782,0020668,3,"Bat Whispers, The",1930
169,4253,0020670,2,Be Yourself,1930
170,3927,0021148,3,Min and Bill,1930
171,3713,0021040,3,Ladies of Leisure,1930
172,1326,0020641,3,Anna Christie,1930
173,1633,0022458,0,Tabu: A Story of the South Seas,1931
174,610,0022100,3,M,1931
175,1317,0021884,1,Frankenstein,1931
176,1333,0023196,3,Mata Hari,1931
177,7296,0023395,2,Rich and Strange [East of Shanghai],1931
178,8557,0021985,1,Hyppolit a lakaj,1931
179,5741,0021735,3,"Cheat, The",1931
180,1974,0022251,0,Pardon Us,1931
181,2384,0022158,1,Monkey Business,1931
182,8467,0021746,3,Cimarron,1931
183,5934,0022286,3,"Public Enemy, The",1931
184,636,0022208,3,Night Nurse,1931
185,1828,0022000,3,Indiscreet,1931
186,1985,0021814,2,Dracula,1931
187,1327,0020642,3,Anna Christie,1931
188,628,0022183,3,M&auml;dchen in Uniform,1931
189,6031,0022599,1,A Nous la Liberte,1931
190,7294,0022395,3,"Skin Game, The",1931
191,8213,0021815,3,Dracula,1931
192,4243,0022074,2,"Smiling Lieutenant, The",1931
193,1956,0022054,0,"Last Flight, The",1931
194,2705,0021749,3,City Lights,1931
195,6030,0021739,3,La Chienne,1931
196,6043,0021079,1,Little Caesar,1931
197,5742,0023213,3,Merrily We Go to Hell,1932
198,1983,0022614,2,"Age of Consent, The",1932
199,6051,0023590,3,Three on a Match,1932
200,6063,0023427,1,Scarface,1932
201,6092,0023385,3,Red-Headed Woman,1932
202,5910,0023649,3,Vampyr,1932
203,4775,0023293,3,"Old Dark House, The",1932
204,1328,0022958,3,Grand Hotel,1932
205,6176,0023935,1,"Death Kiss, The",1932
206,3659,0022913,2,Freaks,1932
207,2383,0023027,1,Horse Feathers,1932
208,5783,0022940,2,"Girl from Calgary, The",1932
209,5929,0023458,3,Shanghai Express,1932
210,2767,0022718,1,Boudu Saved from Drowning,1932
211,3530,0023634,1,"I Was Born, But...",1932
212,3658,0023238,0,"Most Dangerous Game, The",1932
213,2550,0023694,0,White Zombie,1932
214,3844,0024188,1,Island of Lost Souls,1932
215,1318,0023042,1,I Am a Fugitive from a Chain Gang,1932
216,6052,0023158,2,Love Me Tonight,1932
217,6852,0023582,3,Thirteen Women,1932
218,7301,0023285,0,Number 17,1932
219,6990,0022694,1,"Blue Light (Das Blaue Licht), The",1932
220,7450,0024184,1,"Invisible Man, The",1933
221,3188,0023753,3,Alice in Wonderland,1933
222,802,0024028,3,Footlight Parade,1933
223,2231,0024264,3,Little Women,1933
224,5185,0023969,1,Duck Soup,1933
225,1248,0024473,1,"Private Life of Henry VIII., The",1933
226,8346,0023940,1,Design for Living,1933
227,7528,0023775,3,Baby Face,1933
228,8477,0023876,3,Cavalcade,1933
229,6193,0024625,3,A Study in Scarlet,1933
230,5029,0023932,3,Day of Reckoning,1933
231,5752,0024679,3,Tomorrow at Seven,1933
232,3210,0024727,3,"Vampire Bat, The",1933
233,6205,0024432,0,"Peanut Vendor, The",1933
234,5916,0024069,3,Gold Diggers of 1933,1933
235,4335,0024034,3,42nd Street,1933
236,2229,0024216,0,King Kong,1933
237,1330,0024481,3,Queen Christina,1933
238,6056,0024008,3,Female,1933
239,5523,0025424,2,Lost in the Stratosphere,1934
240,4443,0025822,3,Spitfire,1934
241,1325,0025746,3,"Scarlet Empress, The",1934
242,1329,0025617,1,"Painted Veil, The",1934
243,6772,0025091,3,Evelyn Prentice,1934
244,7304,0025452,3,"Man Who Knew Too Much, The",1934
245,5319,0024831,3,Anne of Green Gables,1934
246,1324,0024961,1,"Cat&#39;s-Paw, The",1934
247,621,0025316,3,It Happened One Night,1934
248,7999,0025301,3,Imitation of Life,1934
249,5821,0025755,3,Search for Beauty,1934
250,8653,0025543,0,Mystery Liner,1934
251,1969,0025423,0,"Lost Patrol, The",1934
252,1379,0025586,1,Of Human Bondage,1934
253,4702,0025465,3,Maniac,1934
254,1795,0024844,0,L&#39;atalante,1934
255,1246,0025004,1,"Count of Monte Cristo, The",1934
256,1270,0024991,1,Cleopatra,1934
257,5750,0026599,2,"Lady in Scarlet, The",1935
258,1261,0026071,2,Anna Karenina,1935
259,1361,0026752,1,Mutiny on the Bounty,1935
260,1685,0026768,3,Naughty Marietta,1935
261,5913,0026939,2,"Riverside Murder, The",1935
262,2756,0026667,3,Magnificent Obsession,1935
263,3891,0026138,3,"Bride of Frankenstein, The",1935
264,7998,0026663,2,Mad Love,1935
265,3881,0026778,1,A Night At The Opera,1935
266,1242,0026029,3,"39 Steps, The",1935
267,595,0027125,2,Top Hat,1935
268,2362,0026942,3,Roberta,1935
269,1237,0027438,1,"Charge of the Light Brigade, The",1936
270,7992,0027545,3,Dracula&#39;s Daughter,1936
271,5852,0028010,2,My Man Godfrey,1936
272,7308,0028231,3,Secret Agent,1936
273,5926,0028212,3,Sabotage,1936
274,1369,0028096,3,"Petrified Forest, The",1936
275,3548,0029207,3,"Mandarin Mystery, The",1936
276,3560,0027752,3,"Only Son, The",1936
277,3598,0028683,3,Camille,1936
278,2853,0028021,3,Osaka Elegy,1936
279,4143,0027407,3,Bullets or Ballots,1936
280,2699,0027562,1,Earthworm Tractors,1936
281,6096,0027652,2,Fury,1936
282,7227,0028356,2,These Three,1936
283,6210,3427056,0,Il caso Valdemar,1936
284,1360,0028505,2,Wife vs. Secretary,1936
285,4010,0028092,3,Pennies from Heaven,1936
286,3280,0028355,3,Theodora Goes Wild,1936
287,596,0028333,1,Swing Time,1936
288,2363,0027387,3,Born to Dance,1936
289,1323,0027977,0,Modern Times,1936
290,1359,0028216,1,San Francisco,1936
291,2554,0028174,0,Revolt of the Zombies,1936
292,4069,0028203,3,Romeo and Juliet,1936
293,3401,0027698,3,"Great Ziegfeld, The",1936
294,1992,0027996,3,Mr. Deeds Goes to Town,1936
295,6174,0028000,3,Murder at Glen Athol,1936
296,1358,0029377,2,Parnell,1937
297,8478,0029146,1,"Life of Emile Zola, The",1937
298,1336,0029162,2,Lost Horizon,1937
299,4255,0029192,3,Make Way for Tomorrow,1937
300,3968,0029322,0,Nothing Sacred,1937
301,1240,0029442,1,"Prisoner of Zenda, The",1937
302,1244,0029087,2,Knight Without Armor,1937
303,5617,0029565,1,Murder at the Baskervilles (Silver Blaze),1937
304,597,0029546,1,Shall We Dance,1937
305,1332,0028739,2,Conquest,1937
306,8473,0027552,3,"Bizarre, Bizarre",1937
307,6554,0028597,3,"Awful Truth, The",1937
308,1335,0029682,2,Topper,1937
309,5740,0029453,2,Pepe le Moko,1937
310,795,0029608,3,Stella Dallas,1937
311,7877,0029217,3,Marked Woman,1937
312,631,0029604,3,Stage Door,1937
313,1976,0029583,3,Snow White and the Seven Dwarfs,1937
314,2382,0028772,2,A Day at the Races,1937
315,7317,0029811,3,"Girl Was Young, The",1937
316,1378,0030755,2,"Sisters, The",1938
317,2467,0029942,0,Boys Town,1938
318,3400,0029947,3,Bringing Up Baby,1938
319,594,0029971,2,Carefree,1938
320,6042,0030127,1,"Baker&#39;s Wife, The",1938
321,3951,0030149,3,Four Daughters,1938
322,3103,0029843,2,"Adventures of Robin Hood, The",1938
323,620,0030341,3,"Lady Vanishes, The",1938
324,7290,0029870,1,Angels with Dirty Faces,1938
325,994,0030241,3,Holiday,1938
326,1367,0030287,2,Jezebel,1938
327,3283,0029929,2,Bluebeard&#39;s Eighth Wife,1938
328,2590,0030473,1,"Mr. Wong, Detective",1938
329,4495,0030396,3,"Mad Miss Manton, The",1938
330,1238,0030044,0,"Dawn Patrol, The",1938
331,1370,0031210,3,Dark Victory,1939
332,1382,0032155,2,Young Mr. Lincoln,1939
333,1245,0031385,2,"Goodbye, Mr. Chips",1939
334,5634,0031225,3,Destry Rides Again,1939
335,7322,0031505,3,Jamaica Inn,1939
336,8098,0031514,2,Le jour se l&egrave;ve,1939
337,1385,0031981,2,"Story of Alexander Graham Bell, The",1939
338,3723,0031066,3,Babes in Arms,1939
339,593,0031971,3,Stagecoach,1939
340,2372,0031060,2,At the Circus,1939
341,5863,0031022,3,"Adventures of Sherlock Holmes, The",1939
342,5946,0031679,2,Mr. Smith Goes to Washington,1939
343,291,0031381,3,Gone with the Wind,1939
344,1368,0031516,2,Juarez,1939
345,1384,0031252,2,Drums Along the Mohawk,1939
346,2555,0031387,3,"Gorilla, The",1939
347,1239,0032145,2,Wuthering Heights,1939
348,174,0032138,3,"Wizard of Oz, The",1939
349,1259,0031725,3,Ninotchka,1939
350,1973,0031322,0,"Flying Deuces, The",1939
351,588,0032143,3,"Women, The",1939
352,3089,0031885,3,"Rules of the Game, The",1939
353,8511,0031397,0,Gulliver&#39;s Travels,1939
354,1371,0031826,2,Essex and Elizabeth,1939
355,2086,0031455,0,"Hunchback of Notre Dame, The",1939
356,1383,0031507,2,Jesse James,1939
357,5763,0031709,3,Nancy Drew... Reporter,1939
358,2851,0031742,1,Of Mice and Men,1939
359,383,0031235,2,Dodge City,1939
360,2622,0031680,1,Mr. Wong in Chinatown,1939
361,1366,0032983,0,"Return of Frank James, The",1940
362,4354,0032946,3,Primrose Path,1940
363,4363,0032406,2,Chamber of Horrors / Door with the Seven Locks,1940
364,1265,0033152,0,"Thief of Bagdad, The",1940
365,1975,0032339,0,A Chump at Oxford,1940
366,5320,0032211,3,Anne Of Windy Poplars,1940
367,618,0032976,3,Rebecca,1940
368,7861,0033045,3,"Shop Around the Corner, The",1940
369,5802,0032690,3,"Last Alarm, The",1940
370,1357,0033105,0,Strange Cargo,1940
371,1373,0032194,2,"All This, and Heaven Too",1940
372,2556,0032215,3,"Ape, The",1940
373,1501,0032811,3,"Mortal Storm, The",1940
374,478,0032910,1,Pinocchio,1940
375,4943,0032904,3,"Philadelphia Story, The",1940
376,7311,0032484,1,Foreign Correspondent,1940
377,1356,0032273,1,Boom Town,1940
378,1380,0032701,2,"Letter, The",1940
379,5039,0032455,0,Fantasia,1940
380,2678,0033021,1,Santa Fe Trail,1940
381,3050,0033028,3,"Sea Hawk, The",1940
382,3470,0032553,3,"Great Dictator, The",1940
383,8480,0032676,1,Knute Rockne All American,1940
384,1355,0032349,2,Comrade X,1940
385,4257,0032943,3,Pride and Prejudice,1940
386,1387,0032551,3,"Grapes of Wrath, The",1940
387,4415,0032376,3,"Dance, Girl, Dance",1940
388,3033,0032599,3,His Girl Friday,1940
389,5773,0031359,3,Gaslight,1940
390,2410,0033717,1,High Sierra,1941
391,1386,0033804,2,"Lady Eve, The",1941
392,2446,0033459,3,Cheers for Miss Bishop,1941
393,2867,0033627,0,49th Parallel,1941
394,1117,0033563,2,Dumbo,1941
395,2906,0033436,3,Buck Privates,1941
396,2910,0033723,3,Hold That Ghost,1941
397,1682,0033533,3,"Devil and Miss Jones, The",1941
398,1941,0033727,1,Mr. Bug Goes to Town,1941
399,7329,0034248,3,Suspicion,1941
400,1372,0033836,2,"Little Foxes, The",1941
401,2436,0034398,2,"Wolf Man, The",1941
402,1331,0034328,2,Two-Faced Woman,1941
403,6171,0033928,3,Murder by Invitation,1941
404,6318,0033802,1,Ladies In Retirement,1941
405,2468,0033902,1,Men of Boys Town,1941
406,4359,0034240,3,Sullivan&#39;s Travels,1941
407,1512,0034175,3,"Shanghai Gesture, The",1941
408,3717,0033891,3,Meet John Doe,1941
409,1230,0033870,1,"Maltese Falcon, The",1941
410,1266,0033467,1,Citizen Kane,1941
411,8625,0034241,0,Sun valley serenade,1941
412,681,0035019,3,"Major and the Minor, The",1942
413,3789,0034591,0,There Was a Father,1942
414,1289,0035015,2,"Magnificent Ambersons, The",1942
415,2708,0034587,3,Cat People,1942
416,1686,0034882,3,I Married an Angel,1942
417,7696,0036326,0,Saludos Amigos,1942
418,5939,0035279,1,Saboteur,1942
419,3875,0035415,2,Tales of Manhattan,1942
420,3518,0034521,0,Black Dragons,1942
421,689,0035140,3,"Now, Voyager",1942
422,1076,0034583,1,Casablanca,1942
423,1116,0034492,1,Bambi,1942
424,5303,0035446,0,To Be or Not to Be,1942
425,5859,0035317,1,Sherlock Holmes and the Secret Weapon,1942
426,1388,0035360,1,Son of Fury: The Story of Benjamin Blake,1942
427,4475,0033874,3,"Man Who Came to Dinner, The",1942
428,4870,0035567,3,Woman of the Year,1942
429,1675,0034746,3,For Me and My Gal,1942
430,6384,0035093,3,Mrs. Miniver,1942
431,7697,0034613,1,"Corpse Vanishes, The",1942
432,1374,0036230,3,Old Acquaintance,1943
433,3753,0036506,3,Day of Wrath,1943
434,1955,0036027,3,I Walked with a Zombie,1943
435,1959,0036363,1,"Sky&#39;s the Limit, The",1943
436,1987,0036323,0,Sahara,1943
437,8501,0035735,3,China,1943
438,8090,0036341,3,"Seventh Victim, The",1943
439,4617,0036342,3,Shadow of a Doubt,1943
440,4699,0036400,0,Judo Saga (Sanshiro Sugata),1943
441,6315,0036367,3,So Proudly We Hail!,1943
442,5209,0035770,3,Cry &#39;Havoc&#39;,1943
443,7475,0035017,1,La main du diable,1943
444,6310,0036244,1,"Ox-Bow Incident, The",1943
445,7834,0035636,3,Angels of Sin,1943
446,2407,0036418,3,Tender Comrade,1943
447,3890,0035753,3,Le Corbeau: The Raven,1943
448,1375,0036515,3,Watch on the Rhine,1943
449,5554,0035881,0,Fires Were Started,1943
450,1988,0035957,0,Guadalcanal Diary,1943
451,3839,0036112,2,"Life and Death of Colonel Blimp, The",1943
452,1691,0035942,1,Girl Crazy,1943
453,6781,0036969,3,Jane Eyre,1943
454,7410,0036172,1,"More the Merrier, The",1943
455,3245,0037382,3,To Have and Have Not,1944
456,2715,0037008,3,Laura,1944
457,4222,0037120,3,National Velvet,1944
458,6515,0036695,3,A Canterbury Tale,1944
459,6319,0038166,0,"Three Caballeros, The",1944
460,3134,0036723,3,Cover Girl,1944
461,1376,0037094,2,Mr. Skeffington,1944
462,4698,0036947,3,"Most Beautiful (Ichiban utsukushiku), The",1944
463,2181,0037469,1,Window in the Window,1944
464,201,0036613,3,Arsenic and Old Lace,1944
465,1676,0037059,3,Meet Me in St. Louis,1944
466,6420,0037076,1,Minstrel Man,1944
467,5983,0037017,3,Lifeboat,1944
468,2045,0036914,0,Torment,1944
469,3154,0037280,3,Since You Went Away,1944
470,1416,0036775,3,Double Indemnity,1944
471,3279,0036940,3,I&#39;ll Be Seeing You,1944
472,1683,0036891,2,Hail the Conquering Hero,1944
473,4252,0038109,3,Spellbound,1945
474,2434,0037671,3,"Enchanted Cottage, The",1945
475,5081,0038057,3,Scarlet Street,1945
476,3999,0037638,1,Detour,1945
477,1213,0037800,3,I Know Where I&#39;m Going,1945
478,5677,0037843,3,Keep Your Powder Dry,1945
479,6017,0037514,0,Anchors Aweigh,1945
480,5856,0038259,3,"Woman in Green, The",1945
481,6945,0038017,1,"Red Dragon, The",1945
482,5129,0037674,2,Children of Paradise,1945
483,1280,0038924,3,"Seventh Veil, The",1945
484,7835,0037630,3,Les dames du Bois de Boulogne,1945
485,3271,0037954,0,"Objective, Burma!",1945
486,4428,0038890,3,"Rome, Open City",1945
487,1544,0037558,3,Brief Encounter,1945
488,1639,0037508,0,Along Came Jones,1945
489,6848,0037365,2,Thin Man Goes Home,1945
490,3583,0037884,2,"Lost Weekend, The",1945
491,794,0037913,3,Mildred Pierce,1945
492,2004,0037820,3,Isle of the Dead,1945
493,7185,0037635,3,Dead of Night,1945
494,3145,0038990,3,"Strange Woman, The",1946
495,3982,0036868,2,"Best Years of Our Lives, The",1946
496,5646,0038969,2,Song of the South,1946
497,622,0038787,2,Notorious,1946
498,7671,0038991,3,"Stranger, The",1946
499,1377,0038461,0,Deception,1946
500,1381,0038474,3,Devotion,1946
501,4002,0038494,3,Dressed to Kill,1946
502,2235,0038650,3,It&#39;s a Wonderful Life,1946
503,2654,0038661,1,"Jolson Story, The",1946
504,1268,0038348,3,Beauty and the Beast,1946
505,8354,0039112,3,"Years Between, The",1946
506,5872,0039017,1,Terror by Night,1946
507,2809,0038559,0,Gilda,1946
508,5497,0038409,1,"Chase, The",1946
509,1231,0038733,0,Stairway to Heaven,1946
510,3783,0038762,1,My Darling Clementine,1946
511,4900,0038499,2,Duel in the sun,1946
512,971,0038355,1,"Big Sleep, The",1946
513,1680,0039054,3,Two Sisters from Boston,1946
514,5961,0038453,1,"Dark Corner, The",1946
515,1424,0038854,1,"Postman Always Rings Twice, The",1946
516,786,0038589,3,"Harvey Girls, The",1946
517,8052,0038718,1,Make Mine Music,1946
518,6550,0039689,2,Build My Gallows High,1947
519,7432,0039650,3,Nada,1947
520,3047,0039420,3,"Ghost and Mrs. Muir, The",1947
521,1681,0039819,3,"Shocking Miss Pilgrim, The",1947
522,3112,0039441,2,Gunfighters,1947
523,8619,0039204,3,Body and Soul,1947
524,1211,0039192,3,Black Narcissus,1947
525,2287,0039349,3,"Egg and I, The",1947
526,1235,0039360,1,"Exile, The",1947
527,5779,0039236,2,Calendar Girl,1947
528,8053,0039404,1,Fun &amp; Fancy Free,1947
529,4411,0039286,2,Crossfire,1947
530,2330,0039694,2,"Paradine Case, The",1947
531,1278,0039677,2,Odd Man Out,1947
532,1679,0039431,2,Good News,1947
533,8646,0039324,3,Dishonored Lady,1947
534,2040,0040746,0,Rope,1948
535,1354,0040242,0,Command Decision,1948
536,2256,0040214,1,Casbah,1948
537,1229,0040725,3,"Red Shoes, The",1948
538,1241,0040321,3,Enchantment,1948
539,4944,0041088,2,Act of Violence,1948
540,6363,0040491,3,Joan of Arc,1948
541,2445,0040613,3,Mr. Blandings Builds His Dream House,1948
542,3239,0040897,0,"Treasure of the Sierra Madre, The",1948
543,1232,0040416,1,Hamlet,1948
544,1236,0040183,2,Bonnie Prince Charlie,1948
545,2300,0040379,1,"Fuller Brush Man, The",1948
546,1677,0040308,3,Easter Parade,1948
547,1320,0040724,0,Red River,1948
548,8054,0040580,1,Melody Time,1948
549,8559,0039949,0,It Happened in Europe,1948
550,8264,0040558,1,Macbeth,1948
551,2098,0040806,3,"Snake Pit, The",1948
552,5115,0040202,1,Call Northside 777,1948
553,4390,0040458,3,I Remember Mama,1948
554,1601,0156031,0,Rudolph the Red-Nosed Reindeer,1948
555,1262,0040098,2,Anna Karenina,1948
556,6517,0040522,2,Bicycle Thieves,1948
557,1736,0041746,3,Pinky,1949
558,4008,0041546,1,Kind Hearts and Coronets,1949
559,2232,0041594,3,Little Women,1949
560,2651,0041650,0,Mighty Joe Young,1949
561,4554,0041386,1,"Fountainhead, The",1949
562,1690,0041716,3,On the Town,1949
563,7059,0041094,0,"Adventures of Ichabod and Mr. Toad, The",1949
564,2849,0041628,2,"Man on the Eiffel Tower, The",1949
565,1841,0040221,3,Caught,1949
566,1986,0041859,0,"Set-Up, The",1949
567,7341,0042004,3,Under Capricorn,1949
568,6358,0041452,3,"Heiress, The",1949
569,1716,0041090,3,Adam&#39;s Rib,1949
570,3539,0041154,3,Late Spring,1949
571,3967,0041587,3,A Letter to Three Wives,1949
572,1684,0041158,3,"Barkleys of Broadway, The",1949
573,611,0041959,0,"Third Man, The",1949
574,7018,0041498,2,I Was a Male War Bride,1949
575,139,0042192,3,All About Eve,1950
576,4521,0043871,3,Odette,1950
